"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"371",,"Freshwater Drum","Aplodinotus grunniens","SCIAENIDAE","FwDru",FALSE,21,635,21,635,1,4604,0.56,0.71,1.84,1.69,0,1
"380",,"Sculpin Family","Cottidae","COTTIDAE","SCULP",FALSE,18,175,18,175,0.5,69,0.05,0.22,2.54,2.23,0,1
"381",,"Mottled Sculpin","Cottus bairdii","COTTIDAE","MoScu",FALSE,18,119,18,119,1,18,0.05,0.33,2.54,2.23,0,1
"382",,"Slimy Sculpin","Cottus cognatus","COTTIDAE","SlScu",FALSE,35,126,35,126,0.5,32,0.05,0.22,2.53,2.2,0,1
"383",,"Spoonhead Sculpin","Cottus ricei","COTTIDAE","ShScu",FALSE,28,102,28,102,0.3,15,0.05,0.22,2.54,2.23,0,1
"384",,"Deepwater Sculpin","Myoxocephalus thompsonii","COTTIDAE","DwScu",TRUE,32,175,32,175,1.4,69,0.53,0.68,1.67,1.52,0,1
"385",,"Cottus sp.","Cottus sp.","COTTIDAE","CotSp",FALSE,18,126,18,126,0.5,32,0.05,0.22,2.54,2.23,0,1
"386",,"Myoxocephalus sp.","Myoxocephalus sp.","COTTIDAE","MyoSp",FALSE,32,175,32,175,1.4,69,0.53,0.68,1.67,1.52,0,1
"387",,"Fourhorn Sculpin","Myoxocephalus quadricornis","COTTIDAE","FhScu",FALSE,30,300,30,300,0.3,360,0.53,0.68,1.67,1.52,0,1
"390",,"Lumpfish Family","Cyclopteridae","CYCLOPTERIDAE","LUMPF",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"391",,"Lumpfish","Cyclopterus lumpus","CYCLOPTERIDAE","Lumpf",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"395",,"Righteye Flounder Family","Pleuronectidae","PLEURONECTIDAE","RiFlo",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"396",,"European Flounder","Platichthys flesus","PLEURONECTIDAE","EurFlo",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"400",,"Salmon Family Hybrids","Salmonidae Hybrids","SALMONIDAE Hybrids","HySAL",FALSE,8,954,9,1020,0.1,12939,0.11,0.29,2.57,2.34,9.17283,1.07284
"420",,"Salmon & Trout Subfamily Hybrids","Salmoninae Hybrids","SALMONINAE Hybrids","HyS_T",FALSE,24,954,29,1020,0.2,12939,0.32,0.5,2.57,2.34,4.60498,1.07898
"421",,"Brown Trout x Altantic Salmon","Salmo trutta x Salmo salar","SALMONINAE Hybrids","HyS_T",FALSE,24,860,35,882,0.2,10659,0.54,0.77,2.57,2.34,12.17709,1.00915
"422",,"Tiger Trout (Brown Trout x Brook Trout)","Salmo trutta x Salvelinus fontinalis","SALMONINAE Hybrids","HyS_T",FALSE,24,954,29,1020,0.2,12939,0.32,0.5,2.57,2.34,4.60498,1.07898
"423",,"Coho Salmon x Chinook Salmon","Oncorhynchus kiustch x Oncorhynchus tshawytscha","SALMONINAE Hybrids","HyS_T",FALSE,28,942,29,994,0.22,12598,0.32,0.5,2.21,1.98,9.63418,1.03848
